ID,emotion
0,happy
1,happy
2,happy
3,happy
4,happy
5,happy
6,happy
7,happy
8,happy
9,happy
10,happy
11,happy
12,happy
13,happy
14,happy
15,happy
16,happy
17,happy
18,happy
19,happy
20,happy
21,happy
22,happy
23,happy
24,happy
25,happy
26,happy
27,happy
28,happy
29,happy
30,happy
31,happy
32,happy
33,happy
34,happy
35,happy
36,happy
37,happy
38,happy
39,happy
40,happy
41,happy
42,happy
43,happy
44,happy
45,happy
46,happy
47,happy
48,happy
49,happy
50,happy
51,happy
52,happy
53,happy
54,happy
55,happy
56,happy
57,happy
58,happy
59,happy
60,happy
61,happy
62,happy
63,happy
64,happy
65,happy
66,happy
67,happy
68,happy
69,happy
70,happy
71,happy
72,happy
73,happy
74,happy
75,happy
76,happy
77,happy
78,happy
79,happy
80,happy
81,happy
82,happy
83,happy
84,happy
85,happy
86,happy
87,happy
88,happy
89,happy
90,happy
91,happy
92,happy
93,happy
94,happy
95,happy
96,happy
97,happy
98,happy
99,happy
100,happy
101,happy
102,happy
103,happy
104,happy
105,happy
106,happy
107,happy
108,happy
109,happy
110,happy
111,happy
112,happy
113,happy
114,happy
115,happy
116,happy
117,happy
118,happy
119,happy
120,happy
121,happy
122,happy
123,happy
124,happy
125,happy
126,happy
127,happy
128,happy
129,happy
130,happy
131,happy
132,happy
133,happy
134,happy
135,happy
136,happy
137,happy
138,happy
139,happy
140,happy
141,happy
142,happy
143,happy
144,happy
145,happy
146,happy
147,happy
148,happy
149,happy
150,happy
151,happy
152,happy
153,happy
154,happy
155,happy
156,happy
157,happy
158,happy
159,happy
160,happy
161,happy
162,happy
163,happy
164,happy
165,happy
166,happy
167,happy
168,happy
169,happy
170,happy
171,happy
172,happy
173,happy
174,happy
175,happy
176,happy
177,happy
178,happy
179,happy
180,happy
181,happy
182,happy
183,happy
184,happy
185,happy
186,happy
187,happy
188,happy
189,happy
190,happy
191,happy
192,happy
193,happy
194,happy
195,happy
196,happy
197,happy
198,happy
199,happy
200,happy
201,happy
202,happy
203,happy
204,happy
205,happy
206,happy
207,happy
208,happy
209,happy
210,happy
211,happy
212,happy
213,happy
214,happy
215,happy
216,happy
217,happy
218,happy
219,happy
220,happy
221,happy
222,happy
223,happy
224,happy
225,happy
226,happy
227,happy
228,happy
229,happy
230,happy
231,happy
232,happy
233,happy
234,happy
235,happy
236,happy
237,happy
238,happy
239,happy
240,happy
241,happy
242,happy
243,happy
244,happy
245,happy
246,happy
247,happy
248,happy
249,happy
250,happy
251,happy
252,happy
253,happy
254,happy
255,happy
256,happy
257,happy
258,happy
259,happy
260,happy
261,happy
262,happy
263,happy
264,happy
265,happy
266,happy
267,happy
268,happy
269,happy
270,happy
271,happy
272,happy
273,happy
274,happy
275,happy
276,happy
277,happy
278,happy
279,happy
280,happy
281,happy
282,happy
283,happy
284,happy
285,happy
286,happy
287,happy
288,happy
289,happy
290,happy
291,happy
292,happy
293,happy
294,happy
295,happy
296,happy
297,happy
298,happy
299,happy
300,happy
301,happy
302,happy
303,happy
304,happy
305,happy
306,happy
307,happy
308,happy
309,happy
310,happy
311,happy
312,happy
313,happy
314,happy
315,happy
316,happy
317,happy
318,happy
319,happy
320,happy
321,happy
322,happy
323,happy
324,happy
325,happy
326,happy
327,happy
328,happy
329,happy
330,happy
331,happy
332,happy
333,happy
334,happy
335,happy
336,happy
337,happy
338,happy
339,happy
340,happy
341,happy
342,happy
343,happy
344,happy
345,happy
346,happy
347,happy
348,happy
349,happy
350,happy
351,happy
352,happy
353,happy
354,happy
355,happy
356,happy
357,happy
358,happy
359,happy
360,happy
361,happy
362,happy
363,happy
364,happy
365,happy
366,happy
367,happy
368,happy
369,happy
370,happy
371,happy
372,happy
373,happy
374,happy
375,happy
376,happy
377,happy
378,happy
379,happy
380,happy
381,happy
382,happy
383,happy
384,happy
385,happy
386,happy
387,happy
388,happy
389,happy
390,happy
391,happy
392,happy
393,happy
394,happy
395,happy
396,happy
397,happy
398,happy
399,happy
400,happy
401,happy
402,happy
403,happy
404,happy
405,happy
406,happy
407,happy
408,happy
409,happy
410,happy
411,happy
412,happy
413,happy
414,happy
415,happy
416,happy
417,happy
418,happy
419,happy
420,happy
421,happy
422,happy
423,happy
424,happy
425,happy
426,happy
427,happy
428,happy
429,happy
430,happy
431,happy
