0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13.934082,-3.0771086,-13.51502,-0.84413457,3.0977635,0.15463538,5.615488,-8.032149,2.7764313,1.4692084,9.309807,0.10999432,-4.1377587,1.902549,-3.0311165,-3.5795927,10.130201,0.04329975,-2.1169834,0.9339601,-1.8751851,4.1745033,-2.6946044,-2.5271804,-0.6316614,-2.3054156,1.7832954,-0.27767304,-3.9162009,1.241187,1.115001,2.6085074,-4.4018664,-2.0360074,-0.61026746,3.6265063,-0.9792126,-0.9437,0.12609908,-3.009254,1.3252388,0.3857234,-1.0152088,-1.428144,-0.63234144,1.0646386,3.1790287,1.0042024,-0.5732225,-1.5761603,-0.34957623,0.4025421,2.4207578,-3.2539706,-0.83484983,0.47412342,-1.481585,-2.1680112,-0.47221303,1.5422711,0.35670686,0.5307199,0.17159368,-0.32295954
18.757893,-0.30445355,1.7572818,10.702372,5.5300465,-9.571358,9.2969055,-2.858612,0.027187532,3.7685077,-5.9364696,-1.245933,5.3806562,-7.2726045,1.6802206,-6.8479104,-2.1974158,-2.5297678,-0.45539892,1.8325286,-1.1283007,3.2804813,-3.8468094,0.582798,-2.3128405,-0.0046946704,-3.6522386,1.6481795,-1.5657458,1.6029751,-0.68957984,-3.002223,2.4936395,-0.50370413,-2.3808627,0.6941345,0.415134,2.708092,-2.370698,0.40038586,0.57117647,0.1748786,4.362355,1.2461066,-1.0113635,-0.77308303,-0.07274421,-0.5326338,-0.59289664,-0.77952844,-0.14391461,0.30352828,1.8828354,2.5784206,0.9414796,1.7766857,0.90547824,-1.6417445,0.7342368,1.2313684,0.1795999,1.7000991,-0.0015094876,1.0774316
-8.063476,-3.259291,-16.57734,-5.497738,-6.616893,4.9163494,-10.537728,5.3985715,-1.0919356,-2.561823,3.2280648,-2.7276745,-0.70244837,1.7663633,-0.09432927,1.5081109,2.0603225,-4.697105,-0.8875372,-1.0652772,0.51338804,-3.0747652,0.18914004,-0.12301776,-0.044464096,-0.114287406,2.4787,3.0657678,0.28184408,-5.1798286,-3.3346174,1.0545565,-1.0296888,-0.5300325,0.9695922,-1.4089999,1.0330529,-1.3094734,0.90455604,1.3183988,1.7408526,0.56198806,-1.6773762,-1.6166277,0.41936988,2.790615e-05,0.5086429,-0.6466752,2.6690025,0.14469327,0.90889174,0.46530586,-0.39574024,-0.23537569,1.9765221,-0.9627998,-0.4091171,0.49776495,1.4403906,-0.51309776,-0.47753012,2.7242987,-0.6639656,-1.7552657
3.1288943,16.9114,-10.434631,1.1776853,3.2283359,-1.875124,8.374058,-0.88526267,5.0683794,-6.400661,-2.67263,16.208334,6.2037153,-0.14423625,16.14886,3.9050133,3.4209282,5.7216086,-5.27998,-5.211203,-2.832902,-3.3885105,5.3845754,-1.1788117,3.1721466,3.5416443,3.7875535,1.6396973,-3.907424,2.4282722,0.8279264,4.382639,-0.97387636,-5.3525114,3.3102455,1.9569384,0.5651156,-0.20632768,4.001862,-0.24965018,1.8552715,3.1680267,-3.6867256,2.644514,-0.15340135,-2.6818123,2.2276423,-0.1379755,0.32966295,1.4459393,1.2224569,1.18226,1.1895894,0.7021591,1.6249008,0.77543867,3.6942945,0.43846744,-0.14866927,0.22737038,3.0046573,0.44007385,-0.08706361,1.9258698
-15.744248,-1.0226305,0.004898347,6.6568666,-2.53444,-8.309071,-1.3790995,4.3528543,8.783724,2.6507065,-4.376862,1.2747658,-4.56271,-0.19381247,-1.8281442,4.82125,0.7250763,6.1470213,0.8423415,3.3242517,4.8097343,3.894107,-1.1330959,-1.8967478,4.0826883,-2.0120761,0.6455163,1.2367718,-1.3517029,-1.5247784,0.15340112,0.2799052,2.591292,1.1593328,3.3086767,-0.3066904,-0.31936872,-1.9213424,-0.1957177,0.70023865,2.1008952,-1.5683926,1.4816515,0.9825776,2.2085907,-0.9785162,1.790452,2.436483,0.97690094,0.05155083,-1.2154737,-1.1899464,-1.0486219,0.50839263,0.23165217,-1.151704,0.35460415,0.75202554,-1.1925242,-0.91038424,1.5495952,-2.2846289,0.67259043,-0.60642165
-15.929489,16.942886,-18.671408,9.707744,9.648067,-9.658625,9.821261,-0.10389623,2.1270077,2.155046,1.1381893,-3.7857778,3.6393085,9.72775,-5.248168,2.8866115,0.494964,3.5445473,-1.4802359,5.4920287,-0.56298876,-2.5619085,2.436894,-0.47355688,-0.58380497,1.6168953,3.2382157,-1.1805291,0.7580675,0.31003755,-0.104071096,-2.0134714,-2.2276413,-4.685478,-0.7675792,2.677338,-4.155648,-0.7572093,1.3208008,0.17516366,-1.6612647,5.007202,-1.511946,1.9312642,0.32129455,2.1141613,-0.06693511,0.68594635,0.6156088,-1.070531,-0.28543684,3.018943,-3.2843585,-1.4564517,-0.5003736,0.50416505,0.12739167,1.4878747,1.6526272,0.7318735,-0.38287562,0.5797558,-0.7418414,-1.7750732
-17.60814,-1.4838496,-3.6333227,-4.8994026,-3.240672,-9.087718,2.7090685,12.7870035,1.144287,4.1075506,-0.6497129,6.7720056,-1.8224802,1.3096393,1.8795595,0.44236895,-2.8803227,-3.8573885,-0.8640175,-1.9630466,-0.8472614,-0.97497344,-2.4099321,2.8173187,3.5787826,-0.44648883,-1.0484877,-2.7074625,1.2019762,2.901205,3.596146,0.41426668,-1.3136585,-0.10292409,1.0464776,1.0717187,0.7219674,-1.5561613,-0.08980575,-0.5652359,-0.33370382,0.7908307,4.002002,-0.5765585,-3.5902033,-4.6522336,-2.5876625,0.46115664,-0.17123114,-0.7663014,-0.27216995,-0.61883026,-0.73348963,-1.0681822,-0.5521478,-0.001622282,-0.09892836,0.09832919,-0.9621756,0.9021218,0.6908533,-0.6204694,0.34929043,-0.19632807
-21.624956,8.803431,-3.5341625,4.753044,10.406221,-11.330896,-0.97227263,2.6018114,4.9577627,-1.175623,1.0690831,2.2370355,2.3938606,2.0237715,-1.6812484,1.8808281,4.2129083,6.8602824,-4.7139215,4.419824,0.049604595,3.8850932,3.1424243,1.161551,-0.781994,-2.0276258,3.509851,2.0840535,0.46782282,-0.08787727,0.57150567,-0.067005575,0.46421063,-1.0290519,-1.5567794,1.5507145,0.7476772,0.9468478,-3.6939256,2.0200238,-3.7892954,3.6527488,-2.378792,-2.2697546,-3.437796,0.2648679,-0.07012674,-1.0138681,-0.37905508,0.9976988,-1.9003037,-0.26251405,-2.9673164,-0.7343645,1.7900987,1.7110093,1.903626,-1.831387,-0.60630125,-0.12674578,0.70367175,0.15378222,-0.6397998,-0.612475
21.18123,-4.402612,-12.135425,3.586331,-0.8403543,-2.6822913,14.68882,-5.6007566,0.92155474,-1.6248486,2.1108918,2.4640312,2.2181878,5.059163,-9.097445,4.1410794,9.251237,0.08472116,4.2581315,1.1599507,2.2288158,5.565394,-4.1013355,3.724946,4.80783,-0.7524452,-1.2176516,-1.1575848,-1.0269501,2.9851322,1.4895152,3.066006,-0.8883878,-0.8171946,-1.8853872,0.35860166,1.0336833,1.2367944,-2.7317655,-2.5236056,-1.3894819,1.5611144,0.10898569,-2.157202,0.7734752,1.4140037,0.0051841065,1.0595825,0.30135357,0.46707794,3.1553633,-1.1974285,-0.2976159,1.6230593,0.4012468,-1.0394671,0.8251879,0.77443916,1.868773,-1.8352883,0.7586591,0.09883073,1.2443033,-0.84766436
17.68205,1.2381891,-14.858335,-0.8505822,0.6746304,6.890905,2.0209272,9.507169,0.38627803,-4.70939,-1.861901,-2.0798738,-1.8921303,2.336187,-2.7100215,-1.0091566,-1.5923103,-0.086379535,0.5953443,-4.1715436,-1.5741681,0.47884595,-0.40255088,-1.9617572,0.9800143,-1.0115829,1.3183248,2.97382,0.5190797,0.52394027,-2.8324714,-3.8493378,-1.8071105,-1.3708401,-0.8269353,3.2272978,-1.5238521,-1.8636558,0.30509704,0.41421905,0.38396013,0.9548259,1.3503413,1.3289566,-0.6812493,0.0079474,-1.9547136,1.1267456,-0.6308322,1.316276,-1.216852,1.0161744,0.6392064,-0.77800554,1.0984453,2.802742,0.99264646,-0.8270272,0.52812874,0.6993619,-0.10195744,-0.5601146,-0.4842481,0.939407
